name,score
Drug Policy Alliance,3
Bat Conservation International,2
Best Friends Animal Society,2
Born Free USA united with Animal Protection Institute,3
Dian Fossey Gorilla Fund International,4
Friends of Animals,5
Humane Farming Association,3
Jane Goodall Institute,2
Marine Mammal Center,3
Mercy For Animals,2
National Disaster Search Dog Foundation,3
PetSmart Charities,5
RedRover,3
Save the Chimps,3
The Humane League,3
The Wild Animal Santuary,4
Wildlife Conservation Society,4
Asia Foundation,4
Asia Society,2
National Urban League (National Office),3
Foundation Fighting Blindness,2
Guide Dog Foundation for the Blind,4
Helen Keller International,4
Learning Ally,2
National Federation of the Blind,4
Perkins School For The Blind,2
Prevent Blindness,2
Seva Foundation,3
Breast Cancer Prevention Partners,2
Breast Cancer Research Foundation,4
Cancer Research Institute,4
CancerCare,5
CureSearch for Children's Cancer,2
Dana-Farber Cancer Institute,4
Entertainment Industry Foundation / Stand Up To Cancer,3
Leukemia & Lymphoma Society,3
Marc Lustgarten Pancreatic Cancer Foundation,2
Memorial Sloan Kettering Cancer Center,3
Multiple Myeloma Research Foundation,4
National Breast Cancer Coalition Fund,4
Ovarian Cancer Research Alliance,3
Pancreatic Cancer Action Network,4
Prostate Cancer Foundation,4
Child Find of America,4
ChildFund International,3
Children Incorporated,4
Children International,3
Children's Health Fund,3
Compassion International,4
Dave Thomas Foundation for Adoption,4
Marine Toys for Tots Foundation,3
National Center for Missing & Exploited Children,3
Pearl S. Buck International,4
Save the Children,3
Unbound,5
World Vision,4
American Civil Liberties Union (ACLU),4
American Civil Liberties Union (ACLU) Foundation,4
Center for Constitutional Rights,2
Fortune Society,3
Freedom From Religion Foundation,5
Institute for Justice,4
Interfaith Alliance Foundation,2
Sikh Coalition,4
Thousand Currents,2
Action on Smoking and Health,2
Media Research Center,2
Physicians Committee for Responsible Medicine,2
Project on Government Oversight (POGO),4
Public Citizen Foundation,4
350.org,4
African Wildlife Foundation,2
Alaska Conservation Foundation,2
Amazon Conservation Team,4
American Bird Conservancy,3
American Forests,4
Center for Biological Diversity,4
Conservation Fund,5
Conservation International Foundation,4
Ducks Unlimited,3
Earth Island Institute,4
Earthjustice,3
Earthworks,4
Environmental Defense Action Fund,4
Environmental Defense Fund,2
Environmental Working Group,4
Friends of the Earth,2
Green America,4
Izaak Walton League of America (National Office),4
National Audubon Society,2
National Forest Foundation,4
National Park Trust,4
Natural Resources Defense Council (NRDC),3
Nature Conservancy,2
NRDC Action Fund,4
Oceana,3
Rainforest Action Network,3
Rainforest Alliance,3
Save the Redwoods League,4
Sierra Club Foundation,3
Trout Unlimited (National Office),4
Trust for Public Land,3
Union of Concerned Scientists,4
Water.org,2
Waterkeeper Alliance,5
WildAid,4
World Resources Institute,5
Yosemite Conservancy,2
Brady Center to Prevent Gun Violence,2
Everytown for Gun Safety Support Fund,4
American Brain Tumor Association,3
American Diabetes Association,2
American Kidney Fund,5
American Liver Foundation,2
American Lung Association,2
Breakthrough T1D,3
CDC Foundation,5
Christopher & Dana Reeve Foundation,3
City of Hope & Affiliates,3
Crohn's & Colitis Foundation,3
Diabetes Action Research and Education Foundation,4
Elizabeth Glaser Pediatric AIDS Foundation,4
Epilepsy Foundation,3
Hearing Health Foundation,4
Huntington's Disease Society of America,4
Lupus Foundation of America (National Office),2
Lupus Research Alliance,4
Michael J. Fox Foundation for Parkinson's Research,5
MiracleFeet,3
National Bleeding Disorders Foundation,3
National Jewish Health,3
National Kidney Foundation,4
National Multiple Sclerosis Society,2
National Psoriasis Foundation,2
Parkinson's Foundation,3
Salk Institute for Biological Studies,4
Hispanic Federation,4
Hispanic Scholarship Fund,5
Bowery Residents' Committee (BRC),4
Coalition for the Homeless,4
Center for Victims of Torture,2
Committee to Protect Journalists,2
Human Rights First,4
"Rape, Abuse & Incest National Network (RAINN)",4
American Red Cross,3
Farm Aid,2
Good360,3
The Y (National Office),4
Action Against Hunger-USA,4
City Harvest,2
Feed My Starving Children,4
Feeding America,3
Food Bank For New York City,3
Food for the Hungry,2
The Hunger Project,3
Alight,4
All Hands and Hearts,5
American Friends Service Committee,3
American Near East Refugee Aid (ANERA),3
Americares,3
Brother's Brother Foundation,2
CARE,4
Catholic Medical Mission Board,2
Catholic Relief Services,5
Central Asia Institute,3
charity: water,4
Church World Service (CWS),3
Comic Relief,4
Direct Relief & Direct Relief Foundation,5
Doctors Without Borders USA,4
Engineers Without Borders - USA,4
Episcopal Relief & Development,4
FINCA International,4
Fistula Foundation,4
GiveDirectly,4
Global Communities,4
Grameen Foundation USA,3
HealthRight International,4
HIAS,4
International Medical Corps,4
International Rescue Committee,4
Lutheran World Relief & IMA World Health,4
MAP International,4
Medical Teams International,3
Mennonite Central Committee U.S.,3
Mercy Corps,4
Muslim Aid USA,4
One Acre Fund,4
Operation USA,3
Opportunity International,3
Partners In Health,5
Project HOPE,2
Refugees International,4
Rotary Foundation of Rotary International,5
Samaritan's Purse,3
Sudan Relief Fund,2
Team Rubicon,4
TechnoServe,4
United Methodist Committee on Relief (UMCOR),5
United States Fund for UNICEF,4
World Central Kitchen,5
World Neighbors,4
Zakat Foundation of America,5
American Jewish Committee (AJC),2
American Jewish Joint Distribution Committee,5
American Jewish World Service,3
Anti-Defamation League & Foundation,3
B'nai B'rith International,2
Bend the Arc - A Jewish Partnership for Justice,4
Friends of the Israel Defense Forces (FIDF),4
Hadassah,5
MAZON: A Jewish Response to Hunger,4
New Israel Fund,4
Simon Wiesenthal Center,2
Astraea Lesbian Foundation for Justice,4
ProLiteracy Worldwide,3
Alzheimer's Association,2
American Foundation for Suicide Prevention,4
Arc of the United States (National Office),3
Brain & Behavior Research Foundation,4
Mental Health America (MHA),4
NAMI,4
National Council on Aging (NCOA),4
AFS-USA,3
Clinton Foundation,2
International Peace Institute,2
United States Olympic & Paralympic Committee,3
Concerns of Police Survivors (COPS),5
Tunnel to Towers Foundation,5
American Battlefield Trust,4
Common Cause Education Fund,4
Corporate Accountability,4
League of Women Voters Education Fund,3
Center for Reproductive Rights,2
EngenderHealth,3
Fos Feminista,3
Guttmacher Institute,3
PAI,3
Pathfinder International,4
Population Council,4
Population Services International,5
Reproductive Freedom for All Foundation (National Office),4
Compassion & Choices,4
Compassion & Choices Action Network,5
Death with Dignity National Center,3
Starlight Children's Foundation (National Office),2
Sunshine Foundation (National Office),4
Armed Services YMCA of the USA,3
Bob Woodruff Foundation,3
Fisher House Foundation,5
Folds of Honor Foundation,5
Gary Sinise Foundation,4
Homes For Our Troops,4
Hope For The Warriors,4
Intrepid Fallen Heroes Fund,5
Iraq & Afghanistan Veterans of America,3
K9s For Warriors,2
National Military Family Association,3
Semper Fi & America's Fund,5
The Mission Continues,2
Tragedy Assistance Program for Survivors (TAPS),4
Wounded Warriors Family Support,4
Global Fund for Women,4
Legal Momentum,2
National Women's Law Center,3
Women for Women International,3
Camp Fire National Headquarters,2
CEDARS,4
Covenant House & Affiliates,3
DonorsChoose.org,5
Girl Scouts of the USA (National Office),3
Girls Incorporated (National Office),4
Junior Achievement USA (National Office),4
National 4-H Council,2
Scholarship America,5
SOS Children's Villages - USA,4
Drug Policy Alliance,3
Bat Conservation International,2
Best Friends Animal Society,2
Born Free USA united with Animal Protection Institute,3
Dian Fossey Gorilla Fund International,4
Friends of Animals,5
Humane Farming Association,3
Jane Goodall Institute,2
Marine Mammal Center,3
Mercy For Animals,2
